Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
86,tt1167322,8/20/2015,8/20/2015,,American Experience: Walt Whitman,American Experience: Walt Whitman,https://www.imdb.com/title/tt1167322/,TV Episode,7,120,2008,"Documentary, Biography, History",66,4/14/2008,Mark Zwonitzer
87,tt0055796,8/20/2015,8/20/2015,,Billy Budd,Billy Budd,https://www.imdb.com/title/tt0055796/,Movie,7.8,123,1962,"Adventure, Drama, War",5035,11/12/1962,Peter Ustinov
88,tt3657124,8/20/2015,8/20/2015,,The Catholic Hour: The Confessions of St. Augustine,The Catholic Hour: The Confessions of St. Augustine,https://www.imdb.com/title/tt3657124/,TV Episode,,,1959,"Drama, Family",0,8/2/1959,
89,tt0057449,8/20/2015,8/20/2015,Tales of Mystery And Imagination by Edgar Allan Poe,The Raven,The Raven,https://www.imdb.com/title/tt0057449/,Movie,6.5,86,1963,"Comedy, Drama, Fantasy, Horror",14093,8/29/1963,Roger Corman
90,tt0044760,8/20/2015,8/20/2015,,Ivanhoe,Ivanhoe,https://www.imdb.com/title/tt0044760/,Movie,6.7,106,1952,"Adventure, Drama, Romance",10478,2/20/1953,Richard Thorpe
91,tt0033244,8/20/2015,8/20/2015,"Don't think the film has anything to do with the book, but all I could find.  The Way of All Flesh by Samuel Butler",The Way of All Flesh,The Way of All Flesh,https://www.imdb.com/title/tt0033244/,Movie,6.8,86,1940,"Crime, Drama, Romance",124,7/5/1940,Louis King
92,tt3026144,8/20/2015,8/20/2015,,The Sound and the Fury,The Sound and the Fury,https://www.imdb.com/title/tt3026144/,Movie,4.9,101,2014,Drama,1300,10/23/2015,James Franco
93,tt0096056,8/20/2015,8/20/2015,,Crime and Punishment,Crime and Punishment,https://www.imdb.com/title/tt0096056/,Movie,5.5,126,2002,Drama,892,2002-06,Menahem Golan
94,tt0355295,8/20/2015,8/20/2015,,The Brothers Grimm,The Brothers Grimm,https://www.imdb.com/title/tt0355295/,Movie,5.9,118,2005,"Action, Adventure, Comedy, Fantasy, Horror, Mystery, Thriller",127628,8/26/2005,Terry Gilliam
95,tt0053571,8/20/2015,8/20/2015,,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,https://www.imdb.com/title/tt0053571/,Movie,6.2,107,1960,"Adventure, Comedy, Drama, Family",1620,8/3/1960,Michael Curtiz
96,tt0021884,8/20/2015,8/20/2015,,Frankenstein,Frankenstein,https://www.imdb.com/title/tt0021884/,Movie,7.8,70,1931,"Drama, Horror, Sci-Fi, Thriller",82018,11/21/1931,James Whale
97,tt0167872,8/20/2015,8/20/2015,,David Copperfield,David Copperfield,https://www.imdb.com/title/tt0167872/,TV Mini Series,7.6,93,1999,Drama,5167,12/25/1999,
